Patient,Deviation,SpatialVar,TemporalInstability
patient041,0.08499022718601318,0.33776005440973467,0.028861534526360377
patient042,0.11828911940729224,0.6112947003690303,0.06508653345909533
patient043,0.14478221810127123,0.2282833270333512,0.12429154910131442
patient044,0.13199380658217877,0.9384660036104591,0.060139469456964995
patient045,0.08881151600019022,0.20010222197603408,0.0608655826241827
patient046,0.35127192187984685,0.33260504977150573,0.32736664791454984
patient047,0.048411026610433415,0.20146412243201667,0.02431188891684066
patient048,0.06811228738569744,0.29515661471662913,0.03274262447583926
patient049,0.16020404946385697,0.5893302411900948,0.0516020134045938
patient050,0.10054678611192856,0.620018911778857,0.042501880062728314
patient051,0.08478755036584983,0.49733270280977976,0.03882440604631459
patient052,0.07727266309125141,0.42403648343602646,0.04232719986719408
patient053,0.05958191554509463,0.19201003131940342,0.025866906400461277
patient054,0.11646746915944457,0.4600002977085642,0.07697204945881309
patient055,0.0917903482231463,0.4103285471448702,0.05228210260478341
patient056,0.06524121164023021,0.20822248875569355,0.038300704642072
patient057,0.20893311021390595,0.6390678173710622,0.12269739043820826
patient058,0.06576280872805945,0.2899679212595877,0.03741282872638397
patient059,0.13031219958853701,0.34452739069627225,0.06895737135417518
patient060,0.06953249612722102,0.4280462274677471,0.04910590441045587
patient061,0.11275977482267024,0.44431837510008054,0.06714314772774409
patient062,0.12460753895340891,0.5732633536802805,0.05552902100937008
patient063,0.061735412388116216,0.2351166641776694,0.024590846109606806
patient064,0.10669123717681245,0.4650674581091738,0.0468292418909826
patient065,0.16113820921572639,0.9258639102864314,0.13378646702495173
patient066,0.09600940313783911,0.38657010560967553,0.0426055309058254
patient067,0.35622146782595177,1.4459433107410422,0.14420534552251055
patient068,0.14778648740380013,0.5205754144014099,0.11585149466897411
patient069,0.15518414575877848,0.5690096320105008,0.18887631339303257
patient070,0.06373786282843387,0.12191407034334502,0.037996171317505316
patient071,0.20757115769261392,0.9339181495762462,0.07195438237455082
patient072,0.13083791432788772,0.5222693306333663,0.06022169792261828
patient073,0.06207367697491319,0.1742938004661691,0.021184540243341012
patient074,0.11479903158094809,0.33296902172081067,0.09224501390131659
patient075,0.08493955496263376,0.12141530631535838,0.041741722642165725
patient076,0.11479903158094809,0.33296902172081067,0.09224501390131659
patient077,0.2648529558092013,1.1541632238756274,0.13000766909334377
patient078,0.285485514675889,0.6186337891851539,0.10509700687800763
patient079,0.07449789155756019,0.37865407327943656,0.047101137939344166
patient080,0.07620403965411243,0.6665044385415617,0.04275681106370478
patient081,0.12376866782676951,0.3188381333406723,0.09777003812186312
patient082,0.13862528107853583,0.14044331245192332,0.16159247583878203
patient083,0.05272875468895692,0.21450387055504458,0.03609233434913727
patient084,0.10941083515954843,0.5649182790713113,0.04440699125827641
patient085,0.10209230953848641,0.46419157490891205,0.04587990369274034
patient086,0.044105329063589216,0.20632179137185286,0.021965173255130116
patient087,0.09690502259422097,0.17436154014850602,0.050425921078617576
patient088,0.06514276079155376,0.16721529069247565,0.03203723778234672
patient089,0.03326805525077066,0.309637018328412,0.022471074558425154
patient090,0.10076773405989692,0.2532734588662905,0.05722293637023922
patient091,0.14665246460125667,0.8881285847754251,0.11461202263490451
patient092,0.1650190643531694,0.6727596420982248,0.17674255241706727
patient093,0.18238629801934997,0.7896799294670651,0.1037984360063014
patient094,0.18486172675450663,1.0392186111100117,0.21159083064459563
patient095,0.1668921175459227,0.5711005655681213,0.07889065692119313
patient096,0.1468002966929555,0.7827449885821111,0.11280488511210424
patient097,0.095554158676201,0.3124919584599478,0.06879380191642118
patient098,0.1438675930575319,0.5409392177190057,0.10591315209715091
patient099,0.07286092023823007,0.09861935566717639,0.02543454407702992
patient100,0.04780809073951227,0.16720316380262348,0.020018074860565598
