Patient,CON_mean,EXP_mean,COH_mean,CON_std,EXP_std,COH_std
patient030,-0.017933842,0.017538905,0.12856768,0.01667121,0.016209533,0.17824177
patient031,-0.024132024,0.023946958,0.18267362,0.014265055,0.013456264,0.15318525
patient032,-0.018838495,0.018491542,0.16344026,0.0051150955,0.0044673597,0.08978047
patient033,-0.013508285,0.013289534,0.12813525,0.008081145,0.0077239377,0.10167359
patient034,-0.01423708,0.014108241,0.13287608,0.0046429285,0.0041022445,0.06926461
patient035,-0.013976361,0.0137900915,0.12616938,0.0035981846,0.0035173618,0.0670629
patient036,-0.018813003,0.018450113,0.15985169,0.009461564,0.009610309,0.12921916
patient037,-0.009546216,0.009445237,0.08000181,0.0042365105,0.0040759584,0.03930244
patient038,-0.042087425,0.041704863,0.4047971,0.009406442,0.008997485,0.18603398
patient039,-0.013515145,0.013263124,0.12841469,0.0040676007,0.003445912,0.060592167
patient040,-0.012808018,0.01210452,0.11236326,0.0051088724,0.005663417,0.063028604
patient041,-0.02516514,0.025084728,0.20395422,0.003965396,0.005678275,0.09047914
patient042,-0.009335322,0.00922856,0.09452327,0.0035446384,0.0035085361,0.06719058
patient043,-0.017124103,0.016426802,0.158235,0.004094962,0.0041493904,0.074565135
patient044,-0.018479979,0.018282901,0.16043237,0.016493538,0.016126752,0.12621094
patient045,-0.016634965,0.015950806,0.14029875,0.0051154294,0.004345114,0.06862755
patient046,-0.020884445,0.020657852,0.18922172,0.012731735,0.01239376,0.1332042
patient047,-0.020284612,0.02001191,0.15596598,0.004959523,0.0044832695,0.054445505
patient048,-0.013605968,0.013110229,0.11436354,0.0030408972,0.002582347,0.055819664
patient049,-0.016014865,0.016043175,0.14448804,0.008047084,0.00796326,0.09401829
patient050,-0.015498913,0.015385892,0.12762931,0.008677927,0.008385344,0.07031208
patient051,-0.013245665,0.012993785,0.12317068,0.006191655,0.0056541106,0.062430333
patient052,-0.022674082,0.02249731,0.18008755,0.0067830733,0.0072555593,0.11133216
patient053,-0.016716156,0.016749768,0.14061405,0.0047022896,0.0042974735,0.064935625
patient054,-0.016286865,0.016130345,0.15574239,0.0047841133,0.0044012354,0.06805055
patient055,-0.018656597,0.018064627,0.15083043,0.0049965405,0.0043068063,0.071497485
patient056,-0.018835591,0.01884918,0.1400316,0.0040798853,0.004635373,0.050100096
patient057,-0.027619213,0.027066128,0.34764472,0.00905739,0.008429243,0.16550817
patient058,-0.015488511,0.015164813,0.12563139,0.0037473787,0.003613267,0.059594072
patient059,-0.01922177,0.01896553,0.1644914,0.0074165063,0.0064815753,0.10447189
patient060,-0.0119373305,0.011835376,0.11064692,0.00436185,0.0042303023,0.053546447
patient061,-0.02119613,0.020893592,0.16598833,0.012815501,0.012570835,0.122990936
patient062,-0.027874857,0.027533604,0.2150121,0.016704233,0.016169533,0.19512008
patient063,-0.012806684,0.01266765,0.11463387,0.00610519,0.0059656138,0.0608632
patient064,-0.019871056,0.019560713,0.13807602,0.012979446,0.012354396,0.0981594
patient065,-0.011143056,0.0109431185,0.11127213,0.006619887,0.0064279693,0.069402754
patient066,-0.0205466,0.020383779,0.17931569,0.008793324,0.008621424,0.11668004
patient067,-0.03958239,0.03900948,0.35700113,0.030282937,0.028793933,0.3679283
patient068,-0.0171185,0.017123638,0.1787124,0.0067699756,0.006425722,0.09245084
patient069,-0.009420818,0.009387613,0.10587779,0.0029584263,0.0022874551,0.04741759
patient070,-0.013001637,0.012762164,0.13453014,0.0029632244,0.0031300366,0.063206844
patient071,-0.023341063,0.023087982,0.19358271,0.01255232,0.011826666,0.13160601
patient072,-0.017795855,0.017469263,0.13187696,0.011877365,0.01219164,0.08878112
patient073,-0.014242014,0.0139474915,0.10604761,0.003905059,0.003293586,0.057122465
patient074,-0.017708285,0.017637655,0.15877295,0.0048678624,0.004502926,0.06690625
patient075,-0.020098208,0.019801905,0.18488805,0.005785578,0.003962703,0.07414472
patient076,-0.017708285,0.017637655,0.15877295,0.0048678624,0.004502926,0.06690625
patient077,-0.017772384,0.017544461,0.21570902,0.010605603,0.009571736,0.14449163
patient078,-0.02758611,0.027404182,0.32069892,0.01917294,0.017043166,0.42996082
patient079,-0.016636275,0.016416553,0.13182294,0.005726676,0.005440397,0.06666223
patient080,-0.011017482,0.010368011,0.12891576,0.0030333318,0.002545381,0.06840824
patient081,-0.028828232,0.02899804,0.28941783,0.012644417,0.013711541,0.1801017
patient082,-0.02855033,0.027614836,0.25513548,0.032736897,0.02756515,0.30052677
patient083,-0.017724806,0.017591154,0.13851225,0.004277854,0.003806983,0.043100607
patient084,-0.01614299,0.01599759,0.16686933,0.004912857,0.004746619,0.067137375
patient085,-0.02171114,0.021725286,0.22169305,0.006474139,0.0071133594,0.089655995
patient086,-0.018966388,0.01858412,0.16750754,0.003588819,0.0031151765,0.06907295
patient087,-0.019440774,0.019123033,0.19085485,0.0067111403,0.0060405442,0.10300583
patient088,-0.02110737,0.021144567,0.18850549,0.0071841297,0.0062660384,0.09233911
patient089,-0.01416493,0.013907597,0.12435062,0.003249417,0.0032935059,0.048643243
patient090,-0.02411804,0.021486634,0.21303813,0.00671962,0.0066954014,0.091682695
patient091,-0.032423835,0.03274511,0.33994445,0.014173518,0.015813513,0.1474719
patient092,-0.042721376,0.04298934,0.39149225,0.017268496,0.01847347,0.2917579
patient093,-0.02167784,0.021340096,0.23100883,0.011628166,0.011869925,0.11707077
patient094,-0.026045248,0.026930511,0.29670063,0.009555157,0.01109167,0.12374013
patient095,-0.02204715,0.021491187,0.19744217,0.011519126,0.011494269,0.11386008
patient096,-0.024644166,0.023256322,0.23039173,0.009525483,0.008285568,0.08672913
patient097,-0.020043934,0.02004944,0.176263,0.007240262,0.0069737947,0.061397865
patient098,-0.022783665,0.022724533,0.2663748,0.007953359,0.0074011716,0.083060764
patient099,-0.023895148,0.023349581,0.18760206,0.006564514,0.005981556,0.09892042
patient100,-0.023585558,0.023011593,0.14489904,0.0071608415,0.0069760364,0.08217825
